GISJOIN,Avg_Life_Expect,se,Abridged_life_table_flag
G3600470014800,80.9,1.6055,2
G3600470016600,81,1.4663,3
G3600470000200,76.3,2.3684,2
G3600470003000,78.8,1.6143,3
G3600810091602,,,
G3600610031900,,,
G3600470017600,82.8,2.5812,3
G3600470003600,79.9,1.4061,3
G3600470017200,82.4,1.4591,3
G3600470005800,78.7,2.1607,3
G3600470066600,,,
G3600470014500,81.7,2.004,2
G3600470008400,77.7,1.7418,2
G3600470030400,82.9,1.6232,3
G3600470015000,86.2,3.2815,3
G3600470070202,,,
G3600470016000,83.4,2.2891,3
G3600470014000,79.6,2.2553,3
G3600470005100,82.6,2.3593,2
G3600470062800,78.8,1.6544,3
G3600470029400,77.2,2.0379,3
G3600470017500,,,
G3600470030800,75.2,1.5288,3
G3600470030600,80.4,2.0357,3
G3600470062200,78.1,1.7724,3
G3600470062000,84.7,2.0731,3
G3600610000900,,,
G3600470006000,81.3,2.5394,3
G3600470028000,81.7,2.2736,3
G3600470006500,82.1,2.1768,3
G3600470002200,80.3,1.3719,3
G3600470011700,81.2,1.7295,2
G3600470014700,82.6,1.7405,2
G3600470017100,84.5,2.4295,3
G3600810091800,,,
G3600470150200,80.3,2.1332,3
G3600470020400,83.1,1.9102,3
G3600470014200,81.3,2.5894,3
G3600470020200,82.4,2.2672,3
G3600470004700,,,
G3600470014300,81.7,2.1487,2
G3600470006300,83,2.9615,3
G3600470070201,85.3,1.9162,3
G3600470028200,83,2.3364,3
G3600470006200,80.5,2.1262,3
G3600470070600,82.7,1.7474,3
G3600470038200,81.4,2.7323,1
G3600470066200,82.9,2.1005,3
G3600470007700,81.8,1.484,2
G3600470020600,83,1.6239,3
G3600470029200,80.8,2.0067,3
G3600470066000,82,2.144,3
G3600470020000,78.7,1.1551,2
G3600470063200,,,
G3600470016900,80.3,1.3468,3
G3600470018000,82.1,1.9146,3
G3600610031704,,,
G3600470018400,81.5,1.4407,3
G3600470065800,85.6,2.8836,3
G3600470013800,83.6,2.4938,3
G3600470006800,81.6,1.6225,3
G3600470012100,81.3,2.7679,3
G3600470028600,78.4,1.7302,3
G3600470006400,80.5,1.5908,3
G3600470035400,81.8,0.9773,3
G3600470002000,80.1,3.4641,3
G3600470006600,82.6,2.8089,3
G3600470059800,79.7,1.6291,3
G3600470019800,81.7,1.1864,2
G3600470020800,85.7,2.9745,3
G3600470013600,79.8,1.8625,3
G3600470013200,80.8,2.1791,3
G3600470007000,84.5,3.1536,3
G3600470035602,80.5,1.2781,3
G3600470067000,80.4,2.025,3
G3600470038600,81.5,2.1874,3
G3600470050202,81.3,2.6114,3
G3600810092200,85.6,1.9359,3
G3600470062600,77.8,1.5839,3
G3600470030200,84.6,2.0751,3
G3600470063600,82.6,1.2739,2
G3600470011900,82.6,2.4636,2
G3600470061200,81.1,1.4368,2
G3600470014100,79.9,2.1745,3
G3600470036001,82.3,1.3388,3
G3600470018600,82.3,1.6855,3
G3600470013400,80.3,1.322,3
G3600470008200,83.3,2.9772,3
G3600470068600,80.9,1.9931,3
G3600470070000,80.8,2.4829,3
G3600470037402,84.2,2.4686,3
G3600470000301,89.1,3.6336,3
G3600470061002,81.4,2.0288,3
G3600470002100,81.6,3.6401,2
G3600470039800,86.9,3.2091,3
G3600470019600,78.8,1.3969,3
G3600470065400,80.9,1.307,2
G3600470021000,89.5,3.1697,3
G3600470017800,79.2,1.6282,3
G3600470000100,82.3,1.6793,3
G3600470040200,86,2.8342,3
G3600470056800,82.5,2.1901,3
G3600470063800,82.7,2.0555,3
G3600470065600,79.5,1.3651,3
G3600470006700,85.2,2.9013,3
G3600470014900,82.6,1.8876,2
G3600470038800,84.7,2.5793,3
G3600470004900,78.4,1.7698,3
G3600810021900,,,
G3600470002300,74.8,2.1171,3
G3600470056300,83.9,3.2967,3
G3600470057000,80.8,1.0592,3
G3600470007200,81.1,2.6527,3
G3600610000700,,,
G3600470013000,79.8,1.3538,3
G3600470008800,79.1,1.918,2
G3600470065200,83.3,3.3829,3
G3600470068800,80.3,2.85,3
G3600470064000,85.6,2.5359,3
G3600470007500,82.6,1.6492,3
G3600470040000,81.4,1.6913,3
G3600470035601,,,
G3600470013900,78.8,1.4588,3
G3600470068200,83.5,2.7989,3
G3600470044900,78.2,2.2934,3
G3600470012801,79.7,1.5109,3
G3600470036002,77.9,1.3561,3
G3600470018800,81.6,2,3
G3600470056500,83,3.8034,3
G3600810092800,,,
G3600470016700,84.1,2.0991,3
G3600470045000,,,
G3600470021100,79.2,2.0162,2
G3600470055700,81,2.4589,3
G3600470046800,79.6,2.8151,3
G3600470069602,87.2,3.8036,3
G3600470030000,84.1,2.0541,3
G3600470039600,79.8,1.5206,3
G3600470019000,83.8,2.5642,3
G3600470046400,82.8,3.152,3
G3600470057200,76.8,1.2265,2
G3600470054300,,,
G3600470000700,85.9,3.413,3
G3600470060000,84.4,1.8915,3
G3600470037401,81.6,1.3096,3
G3600470000501,84.2,2.13,3
G3600470002901,74.4,2.6731,3
G3600470056600,81.1,1.4446,3
G3600470018200,77.2,1.6831,2
G3600470059600,78.5,1.8896,3
G3600470064600,83.5,3.9362,3
G3600470055500,,,
G3600470046202,81.2,1.1616,2
G3600470044800,82,1.9368,3
G3600470059300,79.7,2.5595,3
G3600470064400,82.8,3.0834,3
G3600470019400,82.2,1.6387,3
G3600610001300,,,
G3600470102800,81.2,3.1936,3
G3600470012600,78.9,1.3754,3
G3600470036200,77,1.7385,3
G3600470060800,77.6,1.0556,3
G3600470069000,78.6,2.0864,2
G3600470061004,81.8,1.2428,3
G3600470050000,81.7,1.6318,3
G3600470067200,78.5,3.4682,3
G3600470058900,82.5,3.2162,3
G3600470056400,79.3,1.3892,3
G3600470041000,80.4,1.7164,3
G3600470021200,88.1,3.5735,3
G3600470007100,77.4,1.7061,3
G3600470064800,78.6,1.6274,2
G3600470039000,82.6,1.5934,3
G3600470107000,,,
G3600470056100,78.3,1.8921,3
G3600470013700,81.6,1.2558,2
G3600470018501,72.8,1.3252,3
G3600470006900,82.7,2.5765,3
G3600470024600,81.8,2.1077,3
G3600810093401,83.7,2.1537,3
G3600470000502,80.2,1.3811,3
G3600470039400,79.8,2.0609,3
G3600470004500,83.2,3.2707,3
G3600470024400,81.7,1.7481,3
G3600470040800,81.5,1.5193,3
G3600470041401,84.1,3.5707,3
G3600470009000,80.8,2.7203,3
G3600470057500,77.6,2.3712,3
G3600470040600,,,
G3600470039200,80.5,1.7458,3
G3600470015100,82.9,2.5604,3
G3600470029600,82.1,1.8386,3
G3600470069200,79.8,1.7928,2
G3600470027800,80,1.9953,3
G3600470068000,78.9,2.0435,3
G3600470001300,82.8,2.1551,3
G3600470049800,86.3,2.3941,3
