GISJOIN,Avg_Life_Expect,se,Abridged_life_table_flag
G3600470026700,75.4,1.6211,3
G3600470049100,81.9,1.6826,3
G3600470080600,82.8,3.8898,3
G3600470052500,82.1,2.4951,3
G3600470052600,78.5,1.2347,3
G3600470026900,80.7,3.6799,3
G3600470112000,81,3.8915,3
G3600470112200,75.6,1.9327,2
G3600470026100,75.4,1.6459,3
G3600470081000,81.8,2.39,3
G3600470032300,79.2,2.4751,3
G3600470030900,73.8,3.2326,2
G3600470091200,71,1.2882,3
G3600470089600,77.8,3.0147,3
G3600470031500,78.1,2.1475,1
G3600470053300,83.2,2.1697,3
G3600810055900,,,
G3600470026500,76.4,2.309,2
G3600810003900,78.5,2.1049,2
G3600470079801,81.2,3.6479,3
G3600470111800,75.6,2.4731,2
G3600470031100,77.8,1.8551,2
G3600810064102,,,
G3600470028700,79.3,3.149,3
G3600810086400,77.7,1.3425,3
G3600470029300,76.8,2.2765,3
G3600470086600,76.1,1.2116,2
G3600810067100,84.5,2.2134,3
G3600470089000,78.2,1.9276,1
G3600470031300,80.2,2.9138,3
G3600470116000,74.8,2.5703,3
G3600470112400,75.7,3.112,1
G3600470027700,75,2.0467,3
G3600470117400,77.1,1.7386,2
G3600470026300,77.8,1.6457,2
G3600470078800,80.2,3.2293,3
G3600470087600,80.8,3.8657,3
G3600470050600,80.8,2.4011,3
G3600470050700,,,
G3600810049700,83,2.7171,3
G3600810050700,85.1,2.7993,3
G3600470092400,73,2.5518,3
G3600810100801,81.2,1.5432,2
G3600810003700,,,
G3600810024300,85.8,2.0064,3
G3600470010800,78.5,1.5792,3
G3600470115000,77.1,2.0722,2
G3600470028100,74.7,2.9535,3
G3600470031701,75.2,2.539,3
G3600470116200,76.2,2.1219,3
G3600810072900,81.7,2.9185,3
G3600470028900,72.4,1.8155,3
G3600470087800,75.5,2.419,1
G3600470038500,76,1.3889,3
G3600470029100,76.7,1.6915,2
G3600470120800,79.9,2.2778,3
G3600470121000,75.6,1.2835,2
G3600810064101,82,1.2845,3
G3600470116800,74.4,2.9821,3
G3600470034700,75.3,2.7462,3
G3600810058100,77.7,1.6893,3
G3600810009100,81.4,1.4446,2
G3600810000200,83.5,2.1787,3
G3600470037300,73.1,1.5037,3
G3600470116400,75.6,1.2069,2
G3600470027900,78.3,2.2719,3
G3600470037700,77.8,1.1335,2
G3600050011700,73.4,3.8235,3
G3600810083800,83.2,2.3038,3
G3600470036100,72.9,2.5604,3
G3600810099200,78.1,2.6758,3
G3600470051300,80.4,1.7638,2
G3600470033100,81.8,2.3668,3
G3600470039300,79.2,2.3769,2
G3600470050804,79.2,2.0285,2
G3600470077000,77.8,1.6862,2
G3600470081800,77.8,1.2411,2
G3600810003300,80.4,1.3125,2
G3600470042300,77.4,1.2131,2
G3600470032900,80.4,2.0905,3
G3600810008600,77.8,1.6416,3
G3600610001002,75.6,1.0248,2
G3600470034300,76.8,1.0578,2
G3600470052000,84.3,2.3667,3
G3600470034500,80.9,2.6477,3
G3600470034100,75.1,1.85,3
G3600470117601,81.5,2.8777,3
G3600470040100,77,1.3671,3
G3600470038700,76.8,1.6,2
G3600470090200,76.2,2.3794,1
G3600470035900,75.6,1.7962,1
G3600810059300,84.5,2.5438,3
G3600470032100,81.1,2.7768,3
G3600810005400,84.2,2.558,3
G3600470042900,76.4,2.5233,3
G3600470031702,84.4,3.4645,3
G3600470088600,75.5,1.0643,2
G3600810073100,83.2,1.9336,3
G3600470051100,78.9,1.9228,3
G3600050001900,,,
G3600470041300,80.4,2.4115,3
G3600810055700,79.9,3.4283,3
G3600810010500,80.9,2.2016,3
G3600810079200,83.1,2.7287,3
G3600470116600,73.6,1.5604,3
G3600810029900,,,
G3600810005000,,,
G3600470119400,76.8,1.6993,2
G3600810035700,77.8,1.5302,3
G3600470044500,78.8,1.4083,2
G3600470117602,78.1,2.2146,3
G3600470031900,81.4,2.22,3
G3600810008700,75.6,1.3661,2
G3600810013500,83.9,2.202,3
G3600470080400,83.5,3.8793,3
G3600470050900,,,
G3600470082800,80.9,3.6556,3
G3600470033900,77.1,1.7443,3
G3600470152200,86.9,3.4191,3
G3600810001200,83.7,2.8556,3
G3600470118201,77.5,2.3716,3
G3600470050803,75.2,2.0237,2
G3600470051800,82.4,2.4037,3
G3600470033300,83.1,2.3947,3
G3600810018700,83.8,2.6758,3
G3600470088000,77.3,1.1501,2
G3600470037500,75.1,2.1652,3
G3600810091900,78.5,1.2789,3
G3600810070700,86.3,2.6084,3
G3600810081800,80.3,2.7482,3
G3600470080000,84.2,2.7436,3
G3600470082600,83.5,2.9887,3
G3600810012301,77,3.874,3
G3600470052900,77.2,1.7163,2
G3600810030600,79.3,3.299,3
G3600810092900,79.5,1.219,3
G3600810010300,84.9,2.587,3
G3600810070300,84.2,2.9459,3
G3600470082400,81.8,3.1557,3
G3600810081400,76.7,1.5044,2
G3600470051601,76.8,1.4612,2
G3600470039500,76.8,1.2465,2
G3600810078800,77.6,1.6678,2
G3600810038301,,,
G3600470033500,82.3,2.3724,3
G3600470088200,76.1,1.4559,2
G3600470035500,76.7,1.4715,2
G3600470043700,82.4,3.6506,3
G3600470052700,78.8,2.5426,3
G3600470089800,73.8,2.2053,2
G3600810003100,,,
G3600610002400,79.4,2.5628,3
G3600470090000,73.8,1.6281,1
G3600470035300,79.6,2.4792,3
G3600810030904,87.4,2.4191,3
G3600470033700,82.3,2.7687,3
G3600810049900,82.6,1.2852,3
G3600810001400,87.7,3.2552,3
G3600470119200,75.6,1.4018,2
G3600470039700,76.8,1.7429,2
G3600470089400,75.2,1.5519,2
G3600810005200,80.6,2.442,3
G3600610002000,77.3,2.0406,1
G3600810004401,78.8,1.1506,2
G3600470079601,77.8,1.6089,2
G3600810002400,80.4,2.2421,2
G3600470035100,79.8,2.9063,3
G3600810034700,82.9,2.2943,3
G3600810004002,78.8,2.6444,2
G3600810002200,82.2,2.109,3
G3600810004300,75.6,1.5506,2
G3600470035700,73.8,1.39,2
G3600610002500,77.1,1.6431,3
G3600810093900,86.8,3.4626,3
G3600470042100,76.8,1.5873,2
G3600810058300,80.5,2.3334,3
G3600810059100,79,2.093,3
G3600470118202,78.6,2.1141,3
G3600470034900,79.5,2.0598,3
G3600810099802,78.2,1.3919,3
G3600810058700,80.9,1.9403,3
G3600810067900,80.4,1.9602,3
G3600050009300,75.7,1.5442,3
G3600470088400,73.1,1.0839,2
G3600810004001,82.2,2.8193,3
G3600610000201,77.4,1.4034,2
G3600470039900,76.1,1.7529,1
G3600470089200,79.7,3.5868,3
G3600810024500,83.2,1.3743,3
G3600810079000,77.2,2.0254,3
G3600810084000,79.9,1.2234,3
G3600050000400,79.9,1.2545,2
G3600470080200,82.5,2.3503,3
G3600810055500,80.3,3.0692,3
G3600470079000,84.2,3.3386,3
G3600470120000,74.6,2.8583,3
G3600470082000,81.9,2.5787,3
G3600810092500,81.6,2.6089,3
G3600470119600,75.6,1.4174,2
G3600470120200,,,
G3600050000200,84.1,3.2118,3
G3600810090700,79.6,1.5735,2
G3600810003800,79.5,1.6096,3
G3600470051200,81.6,3.9707,3
G3600810002600,80.1,3.1509,3
G3600810032000,84.5,3.1925,3
G3600810058500,82.9,3.0585,3
G3600810037100,87.3,3.7623,3
G3600470050801,76.4,1.9967,3
G3600470041500,74.7,2.0122,3
G3600810094500,79.7,1.4194,3
G3600810094700,85.7,2.9301,3
G3600810100802,79.2,1.5008,1
G3600470051400,78.3,1.4114,3
G3600470051602,75.4,1.8695,3
G3600810008100,80.4,2.3312,2
G3600810066400,82.8,2.018,1
G3600810009400,79.9,2.5512,3
G3600470117800,76.8,2.0719,2
G3600810050500,80.9,3.4754,3
G3600610019200,72.7,1.8809,1
G3600810004200,80.6,2.5964,3
G3600610009900,81.5,3.1147,2
G3600050011000,,,
G3600810018000,76.7,2.7608,2
G3600050002701,71.6,1.74,3
G3600810000400,82.7,3.0699,3
G3600810003200,76.9,2.4445,3
G3600810018401,75.1,2.1955,3
G3600810101002,79,1.4019,3
G3600810002000,81,3.3329,3
G3600810069400,81.1,3.8257,3
G3600810001800,81.5,2.4484,3
G3600470041900,77.4,2.5733,3
G3600810038302,,,
G3600810097300,81.4,1.0762,2
G3600810029400,82.4,2.4286,3
G3600810001000,84,3.2849,3
G3600810029700,81.9,1.3748,2
G3600810003000,79.8,1.6036,2
G3600810032900,79.5,1.2574,2
G3600810018200,78.8,3.3486,3
G3600810003600,82.4,2.5012,3
G3600810001600,82.1,2.1362,3
G3600810017800,80.9,3.5049,3
G3600470044300,78.3,1.8754,3
G3600810069000,79.7,1.9818,3
G3600810103201,75.6,1.6428,2
G3600470119000,,,
G3600470118800,75.6,1.6312,2
G3600810011200,82.1,2.829,3
G3600470118400,79.3,2.2559,3
G3600470041700,79.3,2.5705,3
G3600810002800,76.2,1.7388,3
G3600810009600,79,1.7576,2
G3600810054500,81.6,3.4212,3
G3600810008300,81.8,3.9217,3
G3600810058900,80.3,2.4981,3
G3600610000600,84.3,1.9314,1
G3600810098100,82.3,1.3114,3
G3600810011400,78.2,2.8129,3
G3600470051002,78.3,1.5138,2
G3600810017900,80,3.4724,2
G3600470043100,80.2,3.8989,3
G3600810003400,81.7,3.7174,3
G3600810029500,80.7,2.9109,3
G3600810080302,87.1,3.0536,3
G3600810011100,82.1,1.9134,3
G3600810010100,81.6,2.0179,3
G3600470079602,76.7,1.4281,2
G3600810017600,80.9,2.4512,3
G3600050008400,83.6,2.8616,3
G3600470118600,80.4,2.6517,3
G3600810018402,79.5,2.3055,3
G3600470079200,80.2,3.0963,3
G3600810012800,83.6,3.669,3
G3600050030900,77.9,1.0395,3
G3600810103202,80.3,1.6603,3
G3600810018600,80.1,3.2453,3
G3600810018900,86.8,3.2855,3
G3600470051001,76.5,1.6112,3
G3600470082200,78.3,1.9881,1
G3600810012100,82.2,1.7288,3
G3600810099801,77,1.2082,3
G3600810127700,85.7,2.108,3
G3600810012602,77.7,1.7757,2
G3600810010200,78.3,1.7432,2
G3600810080301,86.4,2.4119,3
G3600810005100,79.7,2.1034,2
G3600470043500,84.1,3.6733,3
G3600810000800,80,1.8119,3
G3600810018800,80.8,2.3776,3
G3600810055100,78.3,1.2669,3
G3600810101001,76.8,0.7327,2
G3600810028800,81.9,2.1727,3
G3600810017400,79.2,1.6944,3
G3600810030902,84.9,2.6727,3
G3600470043900,84.1,3.4023,3
G3600810010000,82.8,3.8557,3
G3600810055300,,,
G3600050009000,76.8,1.3241,2
G3600810133900,82.6,0.9699,2
G3600810048900,81.5,2.263,2
G3600050002702,75.6,1.5453,2
G3600810043200,80.1,3.0937,3
G3600810072300,,,
G3600810019200,79.4,3.8652,3
G3600050002500,72.9,1.3746,3
G3600810011600,82.7,2.6389,3
G3600810043400,80.7,2.0064,3
G3600810000600,79.8,1.7486,3
G3600610001200,88.9,2.4736,3
G3600810019800,75.7,1.858,3
G3600810016800,78,1.739,2
G3600810016300,78.1,2.5736,3
G3600810036700,83.4,2.7179,3
G3600610000800,,,
G3600810042400,83.4,2.7166,3
G3600810068000,79.6,1.8528,3
G3600810019400,79.3,2.5836,3
G3600810025800,,,
G3600810074900,88.5,3.6146,3
G3600810025400,78.5,2.123,1
G3600810042600,,,
G3600810028000,76.3,2.4921,3
G3600810017200,77.6,1.2834,2
G3600810026600,74.4,2.6761,3
G3600810027200,75.5,1.3501,2
G3600810133300,83.7,1.3691,3
G3600810019600,76.5,1.4501,2
G3600810026000,77.4,2.09,3
G3600810041400,76.7,1.4081,2
G3600810013700,80.3,1.2413,2
G3600610011700,,,
G3600810019000,,,
G3600810141700,86.9,2.0008,3
G3600810033000,77.6,0.9672,2
G3600810120700,82.9,3.0947,3
G3600810028200,79,2.779,3
G3600810020200,80.9,3.9809,3
G3600470043300,77.4,1.4823,2
G3600810036800,84.8,3.2945,3
G3600810103900,83.4,1.5827,3
G3600810012601,77.2,2.1739,1
G3600810027800,76.7,1.7045,3
G3600810054700,79.1,1.873,2
G3600610017800,76.2,1.5748,3
G3600810013000,83.2,3.0592,3
G3600050032300,81.6,1.8449,3
G3600810032800,77.1,1.4314,2
G3600810028400,76.7,1.4848,2
G3600810026400,77.9,2.0375,3
G3600810027400,82.6,2.7893,3
G3600810020400,78.3,1.2246,2
G3600810068200,79.9,3.2512,3
G3600810011000,83.8,2.7434,3
G3600810027600,75.7,2.5343,3
G3600050016600,80.5,2.3945,3
G3600610006900,81.5,2.0681,2
G3600810020600,77.1,2.9455,2
G3600810026200,79.7,3.8629,3
G3600810054900,76.6,1.3213,2
G3600810033402,80.2,1.7392,1
G3600810017000,83,3.3089,3
G3600810036600,78.5,1.5126,3
G3600810015200,79.2,1.9988,2
G3600470044100,84.3,2.3611,3
G3600470079400,,,
G3600050002300,75,1.3207,3
G3600810027000,73.8,1.5732,2
G3600810128300,,,
G3600810126700,81.2,1.2104,2
G3600810016600,77.7,2.3978,3
G3600810035200,80,2.0016,1
G3600810098700,81.9,1.6937,3
G3600810047600,80.5,2.94,3
G3600810015801,77.8,1.5136,3
G3600050013200,83.5,3.1252,3
G3600810134100,81.2,1.3117,3
G3600810033401,81.8,2.6195,3
G3600810069500,80.4,1.196,3
G3600050031900,,,
G3600810035800,84.7,3.5419,3
G3600810076901,83.7,2.9922,3
G3600810011300,77.7,3.3338,3
G3600810075701,88,3.5017,3
G3600810014500,80.9,1.0521,2
G3600810134700,80.7,0.8065,2
G3600810065000,79.3,1.3497,2
G3600810004500,84.8,1.7503,3
G3600810017100,,,
G3600810009700,82.7,1.2008,3
G3600810024900,81.9,1.7444,3
G3600810037300,83,3.7687,3
G3600810014100,77.9,2.6126,3
G3600810065400,79.6,2.2531,3
G3600810039800,79.6,3.2069,3
G3600810040200,79.6,2.0352,3
G3600810018501,82.4,2.1146,3
G3600810009800,77.6,2.4832,2
G3600050003100,77.1,2.1819,2
G3600810014800,79.5,1.5379,2
G3600810011800,81.8,3.2112,3
G3600810039900,,,
G3600810012400,81.7,2.6671,3
G3600810015000,79.5,1.448,2
G3600050044901,80.2,2.6901,3
G3600810011900,81.4,1.5927,2
G3600810069702,88.3,3.4964,3
G3600810010400,81.6,1.9949,3
G3600810062600,82.8,2.4973,3
G3600610003300,,,
G3600810124700,85.3,2.4596,3
G3600810014202,85.5,2.6058,3
G3600810015400,79.9,1.6684,2
G3600810024700,78.8,2.1004,2
G3600810040000,80.8,3.6616,3
G3600810016400,79.9,1.9099,3
G3600610012900,78.9,2.3991,3
G3600810039400,84,2.7181,3
G3600810005500,81.5,2.8635,2
G3600050003300,77.5,2.9852,3
G3600810004700,77.7,1.5799,3
G3600050014400,75.6,1.5119,3
G3600810126500,,,
G3600810020800,81.5,3.6572,3
G3600810015600,84.1,2.9905,3
G3600050003900,76.8,1.3407,2
G3600810064600,81.9,1.4183,3
G3600810025500,80.6,2.9077,3
G3600810073700,86.5,2.7344,3
G3600810013400,81.2,1.0588,2
G3600810076902,83.6,3.3554,3
G3600810065600,85.8,3.3264,3
G3600810140902,82.9,1.4323,3
G3600810044000,79.1,2.7608,3
G3600050015200,82.2,1.9194,3
G3600810037600,79.8,1.591,3
G3600050002000,80.3,2.5833,1
G3600810077300,86.5,3.7798,3
G3600810070900,84.3,2.6569,3
G3600810063000,79.3,1.1809,2
G3600810013200,79.2,2.842,3
G3600810025700,82.4,2.037,2
G3600050029301,79.1,1.4648,3
G3600810047900,88.3,2.8459,3
G3600810063800,84.9,2.3521,3
G3600810010800,83.4,2.988,3
G3600050013800,81.9,2.5948,3
G3600810012000,82.7,3.0775,3
G3600810015802,83.3,3.6328,3
G3600810066000,83.2,2.5033,3
G3600810023500,82.7,2.3405,3
G3600810010600,84.9,3.0942,3
G3600810012200,83.1,2.9496,3
G3600610002700,82.8,2.166,3
G3600810024600,,,
G3600810047200,86.8,2.003,3
G3600050030701,81.9,1.3736,3
G3600810145900,82.4,1.5396,3
G3600810063200,80.2,1.9918,3
G3600810119500,82.4,1.7416,2
G3600810140901,81.5,2.8426,3
G3600810062400,,,
G3600810014201,78.2,2.5467,3
G3600810014400,78.8,1.8951,2
G3600810142900,86,3.2234,3
G3600810062000,80.8,1.6949,2
G3600810021200,78.8,1.8025,2
G3600810052800,80.7,3.5851,3
G3600810103300,82.6,1.4127,3
G3600050013000,79.7,1.7373,2
G3600810075702,81.6,1.7525,3
G3600810077902,82.2,0.9628,3
G3600050008600,75.6,1.1033,2
G3600810061800,83.4,3.4289,3
G3600050016200,81.4,0.9132,2
G3600810077903,85.8,3.0773,3
G3600610019400,78.8,3.0179,3
G3600810061602,79.3,1.2017,2
G3600050016400,80.6,1.3363,2
G3600810061601,82.6,2.4407,3
G3600810061400,83.2,2.5607,3
G3600810061200,,,
G3600050016000,81.8,1.6892,3
G3600050034500,82.8,2.0812,3
G3600810040400,77.9,1.4287,3
G3600810061000,81.9,3.6293,3
G3600810052600,78.9,2.0559,3
G3600810007900,79,1.6186,3
G3600050019400,78.8,1.349,2
G3600610024200,76,1.897,3
G3600050015800,70.7,1.6815,3
G3600810009500,83.5,2.7018,3
G3600050033700,82.9,2.041,3
G3600810025900,81.3,2.8034,3
G3600810015100,81.9,1.1662,2
G3600810105900,84.3,1.773,3
G3600810016100,78.8,1.2155,2
G3600810052400,78.1,1.5144,2
G3600810129103,86.7,2.1667,3
G3600050030200,88.6,3.2369,3
G3600810099900,,,
G3600810060600,80.6,2.2301,3
G3600810018502,77.9,1.7698,3
G3600610023801,81.2,0.9922,2
G3600810045600,80.7,1.4313,2
G3600810038100,77.7,1.1914,2
G3600050027402,82.5,1.673,3
G3600810077500,80.2,1.2733,3
G3600810074700,80.7,1.6604,2
G3600810062200,81.9,2.547,3
G3600810046400,80.9,2.3716,3
G3600050045600,,,
G3600810120300,,,
G3600050035100,80.1,2.0561,3
G3600810047500,84.6,2.4972,3
G3600810145101,80.3,2.116,2
G3600810102900,84.8,1.9626,3
G3600810111300,82.9,2.0797,3
G3600810007700,81.4,3.5562,3
G3600810047800,83.4,2.0015,3
G3600810014000,81,1.7076,3
G3600810038400,77.2,2.0653,3
G3600810140300,86.8,2.3733,3
G3600810060800,85.3,2.9485,3
G3600610003100,,,
G3600810099100,82.3,1.2608,3
G3600810050400,77.6,1.061,2
G3600810044400,82,2.2113,3
G3600810025100,81.1,3.6811,3
G3600050007400,78.6,2.5331,3
G3600810022001,84.5,2.1701,3
G3600810068700,88.2,2.9763,3
G3600810119300,82.3,1.8524,3
G3600810029300,81.5,1.9638,2
G3600810114700,86.7,2.5225,3
G3600810129102,83.8,1.2908,3
G3600810024000,76.8,1.4579,2
G3600810145102,85.3,2.5814,3
G3600810045200,77.8,1.107,2
G3600810148300,81.7,2.0284,3
G3600050001600,80.9,1.8034,3
G3600810052200,82.8,3.3354,3
G3600810013600,88.2,2.7766,3
G3600810053000,80.4,1.7722,3
G3600050034300,73.4,1.9647,3
G3600810045800,85.1,3.3965,3
G3600810109700,83.9,2.2346,3
G3600810021600,88.2,3.9925,3
G3600810080900,88.6,2.9334,3
G3600810060000,81.9,2.4638,3
G3600810121500,85,1.96,3
G3600810049200,81.7,2.5948,3
G3600050004100,73.5,1.3528,3
G3600810026100,80.3,1.6752,3
G3600810018101,78.7,1.3896,3
G3600050003500,78.8,3.5915,3
G3600810042700,82.5,2.5852,3
G3600050031000,75,1.0896,3
G3600050005100,74.4,1.3771,3
G3600610003700,81.5,1.3237,2
G3600050030100,76.9,1.6589,3
G3600810077905,86,3.0698,3
G3600810043701,78,1.6687,3
G3600810048000,79.9,1.3462,2
G3600810114100,82.5,1.9169,3
G3600810045000,84.3,2.4079,3
G3600810109300,,,
G3600050027600,,,
G3600810112300,82.4,2.5514,3
G3600810021400,81.2,2.0745,2
G3600810013800,86.2,3.0902,3
G3600810015300,84.5,3.8177,3
G3600810147100,83.3,1.7693,3
G3600810077904,82,1.52,3
G3600810118100,80.3,1.5127,2
G3600050008300,77.8,2.0655,3
G3600810044601,79.7,2.6841,3
G3600810050201,77.1,2.6933,3
G3600810022002,81.5,1.6923,3
G3600810052000,77.8,3.8124,3
G3600810143500,81,2.59,3
G3600810050600,81.1,3.1148,3
G3600810048200,81.3,3.4099,3
G3600050018400,80.8,1.8068,3
G3600810117500,84.8,1.8062,3
G3600050031200,83,2.5995,3
G3600810059600,79.3,1.8462,2
G3600810083700,86.1,2.4446,3
G3600810014700,88.7,3.455,3
G3600810047000,78.3,1.4187,2
G3600810112900,81.9,2.5564,3
G3600810109900,82.2,1.4502,3
G3600810059400,79.3,1.7244,2
G3600810046600,81.9,2.0203,3
G3600050033500,84.2,2.0064,3
G3600610002800,78.9,1.9885,3
G3600050027401,79.3,2.4426,3
G3600810146300,,,
G3600810036100,82.5,2.3659,3
G3600810036500,78.3,1.7016,2
G3600810073900,84.2,1.5449,3
G3600810040100,76.6,2.1754,2
G3600810030903,89.6,3.9257,3
G3600810045400,82.1,2.7335,3
G3600810023800,80.3,3.0469,3
G3600810113900,87.6,2.6779,3
G3600810059800,82.6,3.4798,3
G3600810124100,82.6,1.444,3
G3600810113300,88.2,3.6458,3
G3600610002900,87.4,1.727,3
G3600810053200,77.4,2.1242,3
G3600810051800,79.6,1.9977,3
G3600810059200,77.6,2.0225,3
G3600810156700,79.6,1.3519,2
G3600050035600,77.6,1.2289,2
G3600810050000,80.3,2.3019,3
G3600810050800,79.6,2.2975,3
G3600810115100,87.8,3.7838,3
G3600810046800,82.1,2.5587,3
G3600810138502,,,
G3600810053401,79.3,1.1957,2
G3600810144700,83.1,2.3526,3
G3600810018102,81.5,1.6982,3
G3600810146700,78.7,1.3024,3
G3600810011700,79.4,1.1571,3
G3600810108500,85,2.6126,3
G3600810050202,81.1,3.3901,3
G3600050003800,74.1,3.5019,3
G3600810059000,79.3,1.3168,2
G3600810046200,79.9,1.5465,3
G3600810058000,82,2.705,3
G3600050036000,77.4,1.6855,3
G3600810046000,81.7,2.3409,3
G3600810048400,82,2.1198,3
G3600810136700,83.7,1.5289,3
G3600810051600,78.6,2.4092,2
G3600810077907,80.1,1.5222,2
G3600810051000,79.8,2.2854,2
G3600810025302,80.5,2.3116,3
G3600810023200,82.5,1.6559,3
G3600810011500,79.2,1.7775,3
G3600810016900,85,2.1062,3
G3600810023000,82.8,1.6673,3
G3600810144100,83.2,1.9554,3
G3600810119100,79.3,1.4638,3
G3600810053601,79.8,1.6352,2
G3600810099703,84.8,1.6385,3
G3600810058200,77.6,1.7585,2
G3600810053800,79.3,3.2311,3
G3600810122300,85.4,2.222,3
G3600810051200,80.6,2.6552,3
G3600810104700,82.6,1.3389,3
G3600810147900,84.3,2.2792,3
G3600810044602,78.4,2.0929,3
G3600610018800,77.8,2.2451,3
G3600050031400,79.3,1.4152,3
G3600810119900,83,2.5536,3
G3600810138501,88.6,3.2087,3
G3600810129104,80.3,1.2215,3
G3600050003700,,,
G3600810157102,80.9,1.8587,3
G3600610013500,84.2,2.5504,3
G3600810023600,79.8,1.3757,2
G3600810101700,82.3,1.222,3
G3600810055200,80.2,2.1604,3
G3600810044800,81.6,2.5361,3
G3600810118500,83.2,2.991,3
G3600610002602,78.6,1.6601,3
G3600810054000,77.4,1.2783,3
G3600810049600,77.6,1.1838,2
G3600810071100,84.5,1.7435,3
G3600810054800,81.5,1.8248,3
G3600810015700,79.5,3.976,3
G3600810139900,83,2.4651,3
G3600050046201,81.4,0.9574,1
G3600810041500,82.1,2.2637,3
G3600810125700,77.8,1.4671,3
G3600810006900,84,1.8962,3
G3600810056800,80.9,1.963,3
G3600810130100,81.7,1.4195,3
G3600610007500,82.9,2.8928,3
G3600810018300,80.7,1.1867,3
G3600810014300,85.3,2.7465,3
G3600810015900,80.4,1.3302,2
G3600810088901,81.3,1.3826,3
G3600810005700,81.7,3.1264,3
G3600610001401,83.6,1.5559,3
G3600810025301,83.6,2.2595,3
G3600610002201,82.4,1.7375,3
G3600810026300,85.3,3.7143,3
G3600050048400,82.2,2.9859,3
G3600810099705,81.8,1.7032,2
G3600810157101,85.3,1.8262,3
G3600050007900,82.1,3.5458,3
G3600810005300,84.1,3.1067,3
G3600050044902,79.8,2.2441,3
G3600050035000,79,1.942,2
G3600050029600,81.2,1.4036,2
G3600810054200,80.1,1.5249,3
G3600810074500,82.1,1.5525,3
G3600050030000,79.8,1.5581,3
G3600810162100,85.5,2.2178,3
G3600050009800,79,1.3371,2
G3600810036300,77,2.213,3
G3600810161700,85.6,2.2421,3
G3600810137700,84.8,2.7038,3
G3600810055600,88.3,3.7463,3
G3600050031600,82.7,2.5753,3
G3600610019600,75.6,1.2431,3
G3600050004300,79,2.6594,3
G3600810099704,83.7,1.4253,3
G3600050028400,,,
G3600810079900,83.3,1.8377,3
G3600810048300,80.9,1.6864,2
G3600050046202,78.5,1.2794,1
G3600050007300,75.6,1.3431,2
G3600810117100,81.7,1.6692,3
G3600810056400,77.8,2.2918,3
G3600050006500,76.1,1.9936,3
G3600050026400,81.8,1.8091,3
G3600810043900,76.6,1.9912,2
G3600050011502,75.6,1.3105,2
G3600810155101,,,
G3600810152901,88.3,2.1616,3
G3600810056600,80.3,2.602,3
G3600810056200,78.3,1.5172,2
G3600810074100,84.4,2.2482,3
G3600810055400,82,2.588,3
G3600610007900,88.2,3.0584,3
G3600610002202,,,
G3600050035800,85.2,2.5629,3
G3600610020600,79.2,2.29,2
G3600810155102,83.7,1.5184,3
G3600810055800,85.2,2.2117,3
G3600050008500,77.7,2.5661,3
G3600810077908,79,1.8174,3
G3600810099701,81.6,1.61,3
G3600810086900,86.3,3.836,3
G3600050043500,,,
G3600810056000,83.8,3.9838,3
G3600050028600,80.4,1.8001,2
G3600810032700,86.3,3.1494,3
G3600610002601,76.8,1.915,3
G3600810068300,88.4,2.9273,3
G3600810150702,82.9,1.1847,3
G3600810150701,84.2,1.8004,3
G3600050015500,75.6,1.3079,2
G3600050036400,77.8,2.3597,2
G3600810157903,82.5,1.4902,3
G3600810077906,83.2,2.1076,3
G3600810074300,85.1,1.96,3
G3600050026601,79.7,1.5315,3
G3600810157902,81.2,1.9035,3
G3600050008900,79.8,2.3603,3
G3600610021000,74.9,1.5437,3
G3600810152902,84,1.7027,3
G3600810029100,81.9,1.539,3
G3600050009600,75,1.5497,3
G3600810012500,82.9,2.2426,3
G3600050015300,77.9,2.7172,3
G3600050026602,83.6,2.275,3
G3600810157901,82.8,1.5405,3
G3600810035300,77.1,1.2072,2
G3600810071305,83.3,1.6606,3
G3600810007100,80.2,1.8022,3
G3600610018000,77.4,1.7003,3
G3600810033700,79,2.0521,2
G3600810069300,83.2,3.5798,3
G3600050046000,70.9,1.5236,3
G3600810071303,82.3,1.6884,3
G3600810047300,88.4,3.0162,3
G3600050007100,77,2.6384,3
G3600050007500,74.5,1.1711,3
G3600050015900,75.4,1.8188,3
G3600050044800,79.8,1.2892,2
G3600050034800,80.7,1.9046,3
G3600810115500,80.6,1.5211,2
G3600810069701,81.3,1.2781,3
G3600810014900,81.4,2.5569,3
G3600810122701,84.9,2.2234,3
G3600050020000,79.6,2.1205,3
G3600610001402,80,1.5838,3
G3600050031800,79.9,1.6249,3
G3600050044200,76.8,1.4302,2
G3600810033900,81.4,1.7603,3
G3600050038600,82.2,2.2982,3
G3600050007700,73.7,3.5823,3
G3600810040300,76.6,1.5576,2
G3600050042600,81.5,2.2301,3
G3600050012500,76.8,1.6616,2
G3600610023802,59,2.3306,3
G3600810043702,82.9,2.9248,3
G3600050008700,79.3,2.305,1
G3600810035100,82.3,1.4463,3
G3600050012701,76.3,2.451,3
G3600810037900,76.3,1.5682,2
G3600810007500,81.6,1.355,3
G3600050011900,79.8,2.5284,3
G3600050045800,73.2,1.7074,3
G3600810122702,76,1.2006,1
G3600810007300,83.7,2.8615,3
G3600810006502,78.7,1.5463,3
G3600810026500,80.9,1.824,2
G3600810045700,84.7,2.0611,3
